date,exercise,weight_lbs,reps,sets,rpe,volume,target_reps,reps_over_target,ready_for_increase,next_weight_lbs
2025-05-01,Bench Press,95.0,8,3,6,2280.0,8,0,0,95.0
2025-05-07,Bench Press,95.0,10,3,7,2850.0,8,2,0,105.0
2025-05-08,Bench Press,105.0,6,3,8,1890.0,8,-2,0,105.0
2025-05-14,Bench Press,105.0,7,3,8,2205.0,8,-1,0,105.0
2025-05-15,Bench Press,105.0,8,3,7,2520.0,8,0,0,105.0
2025-05-21,Bench Press,105.0,10,3,6,3150.0,8,2,0,105.0
2025-05-22,Bench Press,105.0,11,3,7,3465.0,8,3,0,115.0
2025-05-28,Bench Press,115.0,6,3,8,2070.0,8,-2,0,115.0
2025-05-29,Bench Press,115.0,8,3,8,2760.0,8,0,0,115.0
2025-06-04,Bench Press,115.0,10,3,6,3450.0,8,2,0,115.0
2025-06-05,Bench Press,115.0,10,3,5,3450.0,8,2,0,115.0
2025-06-11,Bench Press,115.0,13,3,5,4485.0,8,5,1,125.0
2025-06-12,Bench Press,125.0,6,3,5,2250.0,8,-2,0,125.0
2025-06-18,Bench Press,125.0,11,3,6,4125.0,8,3,0,125.0
2025-06-18,Bench Press,125.0,8,3,6,3000.0,8,0,0,50.0
2025-07-03,Bench Press,50.0,8,3,7,1200.0,8,0,0,50.0
2025-07-03,Bench Press,50.0,8,3,7,1200.0,8,0,0,50.0
2025-05-03,Bicep Curl,20.0,10,3,8,600.0,10,0,0,20.0
2025-05-07,Bicep Curl,20.0,10,3,6,600.0,10,0,0,25.0
2025-05-10,Bicep Curl,25.0,6,3,8,450.0,10,-4,0,25.0
2025-05-14,Bicep Curl,25.0,8,3,8,600.0,10,-2,0,25.0
2025-05-17,Bicep Curl,25.0,9,3,7,675.0,10,-1,0,25.0
2025-05-21,Bicep Curl,25.0,10,3,8,750.0,10,0,0,25.0
2025-05-24,Bicep Curl,25.0,12,3,6,900.0,10,2,1,30.0
2025-05-28,Bicep Curl,30.0,6,3,7,540.0,10,-4,0,30.0
2025-05-31,Bicep Curl,30.0,8,3,7,720.0,10,-2,0,30.0
2025-06-04,Bicep Curl,30.0,9,3,8,810.0,10,-1,0,30.0
2025-06-07,Bicep Curl,30.0,11,3,7,990.0,10,1,0,35.0
2025-06-11,Bicep Curl,35.0,6,3,7,630.0,10,-4,0,35.0
2025-06-14,Bicep Curl,35.0,8,3,7,840.0,10,-2,0,35.0
2025-05-05,Hack Squat,200.0,10,3,8,6000.0,8,2,0,210.0
2025-05-12,Hack Squat,210.0,10,3,8,6300.0,8,2,0,220.0
2025-05-19,Hack Squat,220.0,6,3,7,3960.0,8,-2,0,220.0
2025-05-26,Hack Squat,220.0,8,3,8,5280.0,8,0,0,220.0
2025-06-02,Hack Squat,220.0,10,3,7,6600.0,8,2,0,220.0
2025-06-09,Hack Squat,220.0,12,3,6,7920.0,8,4,1,230.0
2025-06-16,Hack Squat,230.0,7,3,8,4830.0,8,-1,0,230.0
2025-05-03,Lat Pulldown,100.0,8,3,8,2400.0,10,-2,0,100.0
2025-05-10,Lat Pulldown,100.0,10,3,7,3000.0,10,0,0,100.0
2025-05-17,Lat Pulldown,100.0,12,3,6,3600.0,10,2,1,110.0
2025-05-24,Lat Pulldown,110.0,8,3,7,2640.0,10,-2,0,110.0
2025-05-31,Lat Pulldown,110.0,10,3,6,3300.0,10,0,0,120.0
2025-06-07,Lat Pulldown,120.0,8,3,9,2880.0,10,-2,0,120.0
2025-05-01,Overhead Press,25.0,8,3,8,600.0,6,2,0,25.0
2025-05-08,Overhead Press,25.0,10,3,8,750.0,6,4,0,25.0
2025-05-15,Overhead Press,25.0,12,3,9,900.0,6,6,0,30.0
2025-05-22,Overhead Press,30.0,6,3,7,540.0,6,0,0,30.0
2025-05-29,Overhead Press,30.0,8,3,8,720.0,6,2,0,30.0
2025-06-05,Overhead Press,30.0,10,3,7,900.0,6,4,0,30.0
2025-05-05,Seated Row,90.0,8,3,8,2160.0,8,0,0,90.0
2025-05-12,Seated Row,90.0,9,3,6,2430.0,8,1,0,90.0
2025-05-19,Seated Row,90.0,12,3,7,3240.0,8,4,1,105.0
2025-05-26,Seated Row,105.0,7,3,7,2205.0,8,-1,0,105.0
2025-06-02,Seated Row,105.0,10,3,8,3150.0,8,2,0,105.0
2025-06-09,Seated Row,105.0,12,3,5,3780.0,8,4,1,120.0
